-43.22631,-22.97867,"[70658]","[70658]"
-43.95781,-19.86317,"N","[70756]"
-43.96081,-19.85608,"S","[70757]"
-47.88919,-15.72258,"S","[70787]"
-47.88397,-15.72222,"N","[70788]"
-47.05675,-22.91064,"[70848]","[70848]"
-46.56778,-23.67125,"S","[70964]"
-45.97356,-23.30664,"[70971]","[70971]"
-43.46883,-22.87989,"S","[71086]"
-43.22647,-22.97811,"S","[71275]"
-47.87008,-15.72908,"S","[71290]"
-41.80633,-22.40681,"E","[71317]"
-46.56656,-23.62203,"W","[71412]"
-43.17833,-22.94183,"[71424]","[71424]"
-46.54183,-23.62350,"S","[71448]"
-41.77208,-22.35911,"N","[71463]"
-46.62928,-23.67764,"[71522]","[71522]"
-43.21239,-22.91597,"S","[71659]"
-46.31175,-23.98117,"[71704]","[71704]"
-49.37867,-20.81447,"N","[71717-]"
-43.20703,-22.98283,"S","[71733]"
-43.20672,-22.98308,"W","[71734]"
-46.50611,-23.69828,"S","[71740]"
-46.50711,-23.68692,"S","[71741]"
-54.57478,-25.51753,"N","[71808]"
-46.78331,-23.56186,"S","[71852]"
-46.36717,-23.96994,"S","[71870]"
-49.37633,-20.79678,"N","[71901]"
-46.37739,-23.96761,"[71902]","[71902]"
-46.36931,-23.97164,"S","[71903]"
-43.18447,-22.96897,"[71915]","[71915]"
-46.71036,-23.54861,"S","[71997]"
-47.15517,-22.93881,"W","[72011]"
-47.10978,-22.91931,"E","[72015]"
-43.22653,-22.97778,"S","[72066]"
-43.22661,-22.97814,"S","[72067]"
-46.53692,-23.67667,"S","[72101]"
-46.53667,-23.67711,"N","[72102]"
-46.48428,-23.62694,"[72113]","[72113]"
-39.32228,-7.24397,"S","[72121]"
-46.65194,-23.62275,"N","[72165]"
-40.50228,-9.39825,"[72181]","[72181]"
-42.77031,-5.06569,"[72223]","[72223]"
-42.80233,-5.08631,"[72231]","[72231]"
-47.85036,-15.84319,"W","[72430]"
-51.92725,-23.41828,"N","[72556]"
