-47.42925,-23.47214,"S","[70659]"
-49.36581,-20.82653,"[70684]","[70684]"
-47.57419,-22.42647,"N","[70877]"
-43.48261,-22.85525,"W","[71085]"
-49.50644,-20.80794,"W","[71554]"
-43.17172,-22.92672,"N","[71589]"
-43.17183,-22.92636,"S","[71590]"
-43.42461,-22.77564,"N","[71750]"
-43.41611,-22.78517,"[71751]","[71751]"
-43.41408,-22.78717,"N","[71752]"
-43.31611,-22.79961,"E","[71753]"
-48.56444,-22.27567,"S","[72038]"
-43.17339,-22.91322,"S","[72083]"
-43.17303,-22.91311,"E","[72084]"
-43.41125,-22.86189,"[72599]","[72599]"
-43.57450,-22.86550,"E","[72615]"
-43.42658,-22.77364,"S","[72655]"
-46.69869,-23.50758,"W","[72958]"
-46.61167,-23.52339,"E","[72959]"
-43.43686,-22.86353,"W","[73095]"
-43.43689,-22.86367,"E","[73096]"
-43.23881,-22.85514,"[73420]","[73420]"
-46.67500,-23.51367,"W","[73834]"
-46.59333,-23.63831,"S","[73916]"
-43.23239,-22.87550,"S","[73958]"
-43.23858,-22.85517,"N","[73991]"
-46.71683,-23.63028,"S","[74148]"
-43.41122,-22.86203,"[74283]","[74283]"
-46.93711,-22.33586,"N","[74379]"
-43.48267,-22.85539,"E","[74499]"
-47.03567,-22.81508,"N","[74527]"
-47.03578,-22.81475,"S","[74690]"
-47.45244,-23.52722,"E","[74802]"
-46.69750,-23.60747,"N","[74883]"
-43.57453,-22.86533,"W","[74990]"
-47.84903,-21.21039,"S","[75401]"
-47.84353,-21.21267,"NW","[75402]"
-46.66736,-23.51567,"E","[75421]"
-46.71722,-23.55650,"[75594]","[75594]"
-48.46542,-22.92036,"N","[76476]"
-49.42961,-20.82083,"E","[76492]"
-46.95194,-22.34667,"S","[77188]"
-46.69158,-23.50919,"E","[77324]"
-46.74267,-23.53950,"S","[77418]"
-49.37603,-20.82347,"W","[78277]"
-47.88728,-21.99047,"W","[78397]"
-47.75933,-21.22883,"[78719]","[78719]"
-46.56497,-23.52331,"S","[90359]"
-51.43344,-22.12450,"S","[91943]"
-51.40053,-22.14528,"N","[91946]"
-43.34139,-22.80272,"W","[91948]"
-43.42050,-22.78031,"S","[91950]"
-43.42019,-22.78050,"N","[91953]"
-43.34144,-22.80281,"E","[91963]"
-43.61178,-22.87519,"S","[91964]"
-46.55522,-23.51939,"N","[91977]"
-46.61342,-23.52103,"N","[91980]"
-46.59844,-23.52706,"S","[95156]"
-46.72453,-23.64967,"[95174]","[95174]"
-47.35636,-22.76200,"W","[95317]"
-47.35678,-22.76217,"E","[95318]"
-46.57103,-23.52678,"E","[95351]"
-46.74603,-23.53475,"N","[98930]"
-46.70150,-23.61764,"[99269]","[99269]"
-47.81881,-21.23492,"S","[99431]"
-43.28361,-22.64619,"N","[99433]"
-43.21014,-22.91406,"S","[99435]"
-43.21003,-22.91419,"N","[99436]"
-43.52114,-22.86044,"[99439]","[99439]"
-43.52108,-22.86028,"[99440]","[99440]"
-43.24781,-22.82981,"[99444]","[99444]"
-43.24806,-22.82975,"[99445]","[99445]"
-43.63489,-22.88131,"E","[103455]"
-46.73633,-23.51825,"E","[103586]"
-46.72436,-23.51286,"S","[103587]"
-46.69919,-23.57481,"S","[103588]"
-46.73600,-23.51728,"W","[103589]"
-47.81917,-21.24167,"[103924]","[103924]"
-46.70692,-23.50931,"[105496]","[105496]"
-46.64567,-23.51742,"[106779]","[106779]"
-43.61078,-22.87511,"[107043]","[107043]"
-50.94989,-20.17106,"[113665]","[113665]"
-46.43197,-23.43767,"[123277]","[123277]"
-41.49747,-17.80186,"[123300]","[123300]"
-46.72150,-23.63797,"N","[123303]"
-43.19397,-22.07378,"[123890]","[123890]"
-46.56483,-23.50169,"Maut (?)","[123969]"
-46.50064,-23.47217,"[139663]","[139663]"
-45.15233,-19.79367,"[142005]","[142005]"
-49.42758,-20.82122,"E","[145317]"
-48.68383,-27.99142,"[145438]","[145438]"
-49.23378,-22.17144,"[145469]","[145469]"
